text,intent
"ok thanks bye",none
"i see",none
"understood",none
"maybe later",none
"not now",none
"create order and add 3 monitor",create_order
"start new order with 5 keyboard",create_order
"awnt make orde wth 10 cable",create_order
"add monitor and keyboard",add_item
"include 2 desktop and 3 laptop",add_item
"can ad 5 printer and 2 scanner",add_item
"change monitor to 10 units",update_item
"update cable price and quantity",update_item
"edit item discount to 15%",update_item
"remove all cables",remove_item
"delete monitor and keyboard",remove_item
"cancel current item",remove_item
"done finish complete submit",complete_order
"all good send order now",complete_order
"thats all complete pls",complete_order
"please create a fresh order",create_order
"open a new sales order now",create_order
"start another order for me",create_order
"need to create order first",create_order
"make order before adding items",create_order
"create order then i will add products",create_order
"crt new order pls",create_order
"new order setup now",create_order
"add 6 network cables",add_item
"include 4 office chairs",add_item
"put 2 projectors in this order",add_item
"add item code abc123 qty 5",add_item
"i want 12 batteries",add_item
"please add one more monitor",add_item
"insert 9 usb adapters",add_item
"add three keyboards and one mouse",add_item
"ad 8 cable pls",add_item
"need add 2 scanners",add_item
"update line 3 quantity to 11",update_item
"change item 2 price to 1299",update_item
"set monitor qty as 4",update_item
"revise line 1 unit price",update_item
"adjust item discount to 5",update_item
"edit quantity for keyboard to 7",update_item
"chg qty item 4 to 2",update_item
"update this order detail line",update_item
"remove line 4 from order",remove_item
"delete the projector item",remove_item
"drop item number 2",remove_item
"cancel this product line",remove_item
"take out the usb adapter",remove_item
"clear item 5",remove_item
"rmv this line",remove_item
"delete selected item",remove_item
"complete this order now",complete_order
"finalize and submit order",complete_order
"confirm and place this order",complete_order
"i am finished, send order",complete_order
"close and complete order",complete_order
"proceed to checkout order",complete_order
"done with edits, submit",complete_order
"finish then post order",complete_order
"what products do you have",none
"show my pending approvals only",none
"how to reset my password",none
"can you explain credit terms",none
"open the dashboard page",none
"thank you very much",none
"i just want to ask a question",none
"do you support quotations",none
